Variable_Name,Category_Name,Category_Code,Subcategory_Name,Variable_Code,Units
"Orchard farms, 2017",Local Foods,LOCAL,Farms & Crop Acreage,ORCHARD_FARMS17,Count
"Orchard farms (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_ORCHARD_FARMS_12_17,% change
"Orchard acres, 2012",Local Foods,LOCAL,Farms & Crop Acreage,ORCHARD_ACRES12,Acres
"Orchard acres, 2017",Local Foods,LOCAL,Farms & Crop Acreage,ORCHARD_ACRES17,Acres
"Orchard acres (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_ORCHARD_ACRES_12_17,% change
"Orchard acres/1,000 pop, 2012",Local Foods,LOCAL,Farms & Crop Acreage,ORCHARD_ACRESPTH12,"Acres/1,000 pop"
"Orchard acres/1,000 pop, 2017",Local Foods,LOCAL,Farms & Crop Acreage,ORCHARD_ACRESPTH17,"Acres/1,000 pop"
"Orchard acres/1,000 pop (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_ORCHARD_ACRESPTH_12_17,% change
"Berry farms, 2012",Local Foods,LOCAL,Farms & Crop Acreage,BERRY_FARMS12,Count
"Berry farms, 2017",Local Foods,LOCAL,Farms & Crop Acreage,BERRY_FARMS17,Count
"Berry farms (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_BERRY_FARMS_12_17,% change
"Berry acres, 2012",Local Foods,LOCAL,Farms & Crop Acreage,BERRY_ACRES12,Acres
"Berry acres, 2017",Local Foods,LOCAL,Farms & Crop Acreage,BERRY_ACRES17,Acres
"Berry acres (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_BERRY_ACRES_12_17,% change
"Berry acres/1,000 pop, 2012",Local Foods,LOCAL,Farms & Crop Acreage,BERRY_ACRESPTH12,"Acres/1,000 pop"
"Berry acres/1,000 pop, 2017",Local Foods,LOCAL,Farms & Crop Acreage,BERRY_ACRESPTH17,"Acres/1,000 pop"
"Berry acres/1,000 pop (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_BERRY_ACRESPTH_12_17,% change
"Small slaughterhouse facilities, 2012",Local Foods,LOCAL,Farms & Crop Acreage,SLHOUSE12,Count
"Small slaughterhouse facilities, 2017",Local Foods,LOCAL,Farms & Crop Acreage,SLHOUSE17,Count
"Small slaughterhouse facilities (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_SLHOUSE_12_17,% change
"Greenhouse vegetable and fresh herb farms, 2012",Local Foods,LOCAL,Farms & Crop Acreage,GHVEG_FARMS12,Count
"Greenhouse vegetable and fresh herb farms, 2017",Local Foods,LOCAL,Farms & Crop Acreage,GHVEG_FARMS17,Count
"Greenhouse vegetable and fresh herb farms (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_GHVEG_FARMS_12_17,% change
"Greenhouse veg and fresh herb sq feet, 2012",Local Foods,LOCAL,Farms & Crop Acreage,GHVEG_SQFT12,Sq ft
"Greenhouse veg and fresh herb sq feet, 2017",Local Foods,LOCAL,Farms & Crop Acreage,GHVEG_SQFT17,Sq ft
"Greenhouse veg and fresh herb sq feet (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_GHVEG_SQFT_12_17,% change
"Greenhouse veg and fresh herb sq feet/1,000 pop, 2012",Local Foods,LOCAL,Farms & Crop Acreage,GHVEG_SQFTPTH12,"Sq ft/1,000 pop"
"Greenhouse veg and fresh herb sq feet/1,000 pop, 2017",Local Foods,LOCAL,Farms & Crop Acreage,GHVEG_SQFTPTH17,"Sq ft/1,000 pop"
"Greenhouse veg and fresh herb sq feet/1,000 pop (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_GHVEG_SQFTPTH_12_17,% change
"Food hubs, 2023",Local Foods,LOCAL,Other Local Food Outlets,FOODHUB23,Count
"CSA farms, 2023",Local Foods,LOCAL,Other Local Food Outlets,CSA23,Count
"On-Farm Markets, 2023",Local Foods,LOCAL,Other Local Food Outlets,ONFARM_MARKET23,Count
"Agritourism operations, 2012",Local Foods,LOCAL,Other Local Food Outlets,AGRITRSM_OPS12,Count
"Agritourism operations, 2017",Local Foods,LOCAL,Other Local Food Outlets,AGRITRSM_OPS17,Count
"Agritourism operations (% change), 2012 - 17",Local Foods,LOCAL,Other Local Food Outlets,PCH_AGRITRSM_OPS_12_17,% change
"Agritourism receipts, 2012",Local Foods,LOCAL,Other Local Food Outlets,AGRITRSM_RCT12,Dollars
"Agritourism receipts, 2017",Local Foods,LOCAL,Other Local Food Outlets,AGRITRSM_RCT17,Dollars
"Agritourism receipts (% change), 2012 - 17",Local Foods,LOCAL,Other Local Food Outlets,PCH_AGRITRSM_RCT_12_17,% change
"Farm to school program, 2019",Local Foods,LOCAL,Other Local Food Outlets,FARM_TO_SCHOOL19,Classification
"Adult diabetes rate, 2015",Health and Physical Activity,HEALTH,Health,PCT_DIABETES_ADULTS15,Percent
"Adult diabetes rate, 2019",Health and Physical Activity,HEALTH,Health,PCT_DIABETES_ADULTS19,Percent
"Adult obesity rate, 2017*",Health and Physical Activity,HEALTH,Health,PCT_OBESE_ADULTS17,Percent
"Adult obesity rate, 2022*",Health and Physical Activity,HEALTH,Health,PCT_OBESE_ADULTS22,Percent
"High schoolers physically active (%), 2021*",Health and Physical Activity,HEALTH,Physical Activity,PCT_HSPA21,Percent
"Recreation & fitness facilities, 2016",Health and Physical Activity,HEALTH,Physical Activity,RECFAC16,Count
"Recreation & fitness facilities, 2020",Health and Physical Activity,HEALTH,Physical Activity,RECFAC20,Count
"Recreation & fitness facilities (% change), 2016-20",Health and Physical Activity,HEALTH,Physical Activity,PCH_RECFAC_16_20,% change
"Recreation & fitness facilities/1,000 pop, 2016",Health and Physical Activity,HEALTH,Physical Activity,RECFACPTH16,"# per 1,000 pop"
"Recreation & fitness facilities/1,000 pop, 2020",Health and Physical Activity,HEALTH,Physical Activity,RECFACPTH20,"# per 1,000 pop"
"Recreation & fitness facilities/1,000 pop (% change), 2016-20",Health and Physical Activity,HEALTH,Physical Activity,PCH_RECFACPTH_16_20,% change
"% White, 2020",Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,PCT_NHWHITE20,Percent
"% Black, 2020",Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,PCT_NHBLACK20,Percent
"% Hispanic, 2020",Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,PCT_HISP20,Percent
"% Asian, 2020",Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,PCT_NHASIAN20,Percent
"% American Indian or Alaska Native, 2020",Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,PCT_NHNA20,Percent
"% Hawaiian or Pacific Islander, 2020",Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,PCT_NHPI20,Percent
"% Other Race, 2020",Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,PCT_NHOR20,Percent
"% Two or More Races, 2020",Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,PCT_NHTMR20,Percent
"% Population 65 years or older, 2020",Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,PCT_65OLDER20,Percent
"% Population under age 18, 2020",Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,PCT_18YOUNGER20,Percent
"Median household income, 2021",Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,MEDHHINC21,Dollars
"Poverty rate, 2021",Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,POVRATE21,Percent
"Deep poverty rate, 2021",Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,DEEPPOVRATE21,Percent
"Persistent-poverty counties, 2017-21",Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,PERPOV17_21,Legend
"Child poverty rate, 2021",Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,CHILDPOVRATE21,Percent
"Deep child poverty rate, 2021",Socioeconomic Characteristics,SOCIOECONOMIC,Income Level,DEEPCHILDPOVRATE21,Percent
"Metro/nonmetro counties, 2023",Socioeconomic Characteristics,SOCIOECONOMIC,Other,METRO23,Legend
"Population-loss counties, 2015",Socioeconomic Characteristics,SOCIOECONOMIC,Other,POPLOSS15,Legend
